"";"bzrID";"bzrNAME";"GESIx_2013";"GESIx_2022";"ESIx_2013";"ESIx_2022";"DI_2013";"DI_2022";"DII_2013";"DII_2022";"DIII_2013";"DIII_2022"
"71";70303;"Friedenau";0,61336601;0,85006273;0,47377902;0,60560405;0,63567352;0,7670393;0,24222413;0,39286906;0,80798501;1,2745385
"72";70404;"Tempelhof";-0,10275251;-0,10693384;-0,28204811;-0,19322184;-0,35865343;-0,23477346;-0,16532668;-0,13568266;0,35219708;0,146475
"73";70505;"Mariendorf";0,10766803;-0,15820076;-0,028073005;-0,22312939;-0,23906544;-0,37379539;0,20083717;-0,050082341;0,4277218;0,065534241
"74";70606;"Marienfelde";-0,070010796;-0,41628829;-0,047490813;-0,43193167;-0,19200271;-0,8974852;0,11278755;0,083583601;-0,097063929;-0,22158429
"75";70707;"Lichtenrade";0,43721616;0,15508297;0,42440015;0,19277564;0,27743149;-0,055452291;0,52896154;0,43610865;0,39187285;0,055412583
"76";80101;"Schillerpromenade";-1,9884826;-1,8972943;-2,0849795;-2,1097317;-1,6364033;-1,566119;-2,3064952;-2,5168428;-1,3942199;-0,99495715
"77";80102;"Neuköllner Mitte/Zentrum";-2,199856;-2,3987598;-2,1859312;-2,4904249;-1,6436067;-1,9542874;-2,4951332;-2,8614006;-1,8341537;-1,697528
"78";80103;"Reuterstraße";-1,3195485;-1,1129414;-1,2812601;-1,1960202;-0,82803732;-0,86474836;-1,6071081;-1,4507899;-1,1825994;-0,69315726
"79";80104;"Rixdorf";-1,7869638;-1,6656122;-1,6018211;-1,8888769;-1,3424804;-1,5724553;-1,6808789;-2,0765874;-1,888773;-0,75674182
"80";80105;"Köllnische Heide";-2,1462581;-3,2900951;-2,5556405;-3,764226;-2,6218195;-3,8399467;-2,1689649;-3,4050491;-0,72957289;-1,3163334
"81";80206;"Britz";-0,66369987;-0,63501608;-0,73588014;-0,9237867;-0,52618617;-0,88448113;-0,8689521;-0,89573812;-0,37520996;0,25119126
"82";80207;"Buckow";0,40756956;-0,15662847;0,36333919;-0,16770552;0,30610245;-0,48612562;0,37957376;0,17536697;0,43540165;-0,050987218
